ACFT_ID;Profile_ID;Stage Length;Step Number;Step Type;Thrust Rating;Flap_ID;End Point Altitude (ft);Rate Of Climb (ft/min);End Point CAS (kt);Accel Percentage (%)
707320;DEFAULT;6;6;Accelerate;MaxClimb;ZERO;;800.0;250.0;
707320;DEFAULT;6;7;Climb;MaxClimb;ZERO;5500.0;;;
707320;DEFAULT;6;8;Climb;MaxClimb;ZERO;7500.0;;;
707320;DEFAULT;6;9;Climb;MaxClimb;ZERO;10000.0;;;
707320;DEFAULT;7;1;Takeoff;MaxTakeoff;14;;;;
707320;DEFAULT;7;2;Climb;MaxTakeoff;14;1000.0;;;
707320;DEFAULT;7;3;Accelerate;MaxTakeoff;14;;1151.0;209.0;
707320;DEFAULT;7;4;Accelerate;MaxClimb;INT;;800.0;229.0;
707320;DEFAULT;7;5;Climb;MaxClimb;ZERO;3000.0;;;
707320;DEFAULT;7;6;Accelerate;MaxClimb;ZERO;;800.0;250.0;
707320;DEFAULT;7;7;Climb;MaxClimb;ZERO;5500.0;;;
707320;DEFAULT;7;8;Climb;MaxClimb;ZERO;7500.0;;;
707320;DEFAULT;7;9;Climb;MaxClimb;ZERO;10000.0;;;
707QN;DEFAULT;1;1;Takeoff;MaxTakeoff;14;;;;
707QN;DEFAULT;1;2;Climb;MaxTakeoff;14;1000.0;;;
707QN;DEFAULT;1;3;Accelerate;MaxTakeoff;14;;2047.0;175.0;
707QN;DEFAULT;1;4;Accelerate;MaxClimb;INT;;1000.0;195.0;
707QN;DEFAULT;1;5;Climb;MaxClimb;ZERO;3000.0;;;
707QN;DEFAULT;1;6;Accelerate;MaxClimb;ZERO;;1000.0;250.0;
707QN;DEFAULT;1;7;Climb;MaxClimb;ZERO;5500.0;;;
707QN;DEFAULT;1;8;Climb;MaxClimb;ZERO;7500.0;;;
707QN;DEFAULT;1;9;Climb;MaxClimb;ZERO;10000.0;;;
707QN;DEFAULT;2;1;Takeoff;MaxTakeoff;14;;;;
707QN;DEFAULT;2;2;Climb;MaxTakeoff;14;1000.0;;;
707QN;DEFAULT;2;3;Accelerate;MaxTakeoff;14;;1905.0;179.0;
707QN;DEFAULT;2;4;Accelerate;MaxClimb;INT;;1000.0;199.0;
707QN;DEFAULT;2;5;Climb;MaxClimb;ZERO;3000.0;;;
707QN;DEFAULT;2;6;Accelerate;MaxClimb;ZERO;;1000.0;250.0;
707QN;DEFAULT;2;7;Climb;MaxClimb;ZERO;5500.0;;;
707QN;DEFAULT;2;8;Climb;MaxClimb;ZERO;7500.0;;;
707QN;DEFAULT;2;9;Climb;MaxClimb;ZERO;10000.0;;;
707QN;DEFAULT;3;1;Takeoff;MaxTakeoff;14;;;;
707QN;DEFAULT;3;2;Climb;MaxTakeoff;14;1000.0;;;
707QN;DEFAULT;3;3;Accelerate;MaxTakeoff;14;;1793.0;183.0;
707QN;DEFAULT;3;4;Accelerate;MaxClimb;INT;;1000.0;203.0;
707QN;DEFAULT;3;5;Climb;MaxClimb;ZERO;3000.0;;;
707QN;DEFAULT;3;6;Accelerate;MaxClimb;ZERO;;1000.0;250.0;
707QN;DEFAULT;3;7;Climb;MaxClimb;ZERO;5500.0;;;
707QN;DEFAULT;3;8;Climb;MaxClimb;ZERO;7500.0;;;
707QN;DEFAULT;3;9;Climb;MaxClimb;ZERO;10000.0;;;
707QN;DEFAULT;4;1;Takeoff;MaxTakeoff;14;;;;
707QN;DEFAULT;4;2;Climb;MaxTakeoff;14;1000.0;;;
707QN;DEFAULT;4;3;Accelerate;MaxTakeoff;14;;1624.0;189.0;
707QN;DEFAULT;4;4;Accelerate;MaxClimb;INT;;1000.0;209.0;
707QN;DEFAULT;4;5;Climb;MaxClimb;ZERO;3000.0;;;
707QN;DEFAULT;4;6;Accelerate;MaxClimb;ZERO;;1000.0;250.0;
707QN;DEFAULT;4;7;Climb;MaxClimb;ZERO;5500.0;;;
707QN;DEFAULT;4;8;Climb;MaxClimb;ZERO;7500.0;;;
707QN;DEFAULT;4;9;Climb;MaxClimb;ZERO;10000.0;;;
707QN;DEFAULT;5;1;Takeoff;MaxTakeoff;14;;;;
707QN;DEFAULT;5;2;Climb;MaxTakeoff;14;1000.0;;;
707QN;DEFAULT;5;3;Accelerate;MaxTakeoff;14;;1430.0;197.0;
707QN;DEFAULT;5;4;Accelerate;MaxClimb;INT;;1000.0;217.0;
707QN;DEFAULT;5;5;Climb;MaxClimb;ZERO;3000.0;;;
707QN;DEFAULT;5;6;Accelerate;MaxClimb;ZERO;;1000.0;250.0;
707QN;DEFAULT;5;7;Climb;MaxClimb;ZERO;5500.0;;;
707QN;DEFAULT;5;8;Climb;MaxClimb;ZERO;7500.0;;;
707QN;DEFAULT;5;9;Climb;MaxClimb;ZERO;10000.0;;;
707QN;DEFAULT;6;1;Takeoff;MaxTakeoff;14;;;;
707QN;DEFAULT;6;2;Climb;MaxTakeoff;14;1000.0;;;
707QN;DEFAULT;6;3;Accelerate;MaxTakeoff;14;;1259.0;205.0;
707QN;DEFAULT;6;4;Accelerate;MaxClimb;INT;;800.0;225.0;
707QN;DEFAULT;6;5;Climb;MaxClimb;ZERO;3000.0;;;
707QN;DEFAULT;6;6;Accelerate;MaxClimb;ZERO;;800.0;250.0;
707QN;DEFAULT;6;7;Climb;MaxClimb;ZERO;5500.0;;;
707QN;DEFAULT;6;8;Climb;MaxClimb;ZERO;7500.0;;;
707QN;DEFAULT;6;9;Climb;MaxClimb;ZERO;10000.0;;;
707QN;DEFAULT;7;1;Takeoff;MaxTakeoff;14;;;;
707QN;DEFAULT;7;2;Climb;MaxTakeoff;14;1000.0;;;
707QN;DEFAULT;7;3;Accelerate;MaxTakeoff;14;;1151.0;209.0;
707QN;DEFAULT;7;4;Accelerate;MaxClimb;INT;;800.0;229.0;
707QN;DEFAULT;7;5;Climb;MaxClimb;ZERO;3000.0;;;
707QN;DEFAULT;7;6;Accelerate;MaxClimb;ZERO;;800.0;250.0;
707QN;DEFAULT;7;7;Climb;MaxClimb;ZERO;5500.0;;;
707QN;DEFAULT;7;8;Climb;MaxClimb;ZERO;7500.0;;;
707QN;DEFAULT;7;9;Climb;MaxClimb;ZERO;10000.0;;;
717200;DEFAULT;1;1;Takeoff;MaxTakeoff;T_13A;;;;
717200;DEFAULT;1;2;Climb;MaxTakeoff;T_13A;1000.0;;;
717200;DEFAULT;1;3;Climb;MaxClimb;T_13A;3000.0;;;
717200;DEFAULT;1;4;Accelerate;MaxClimb;T_00B;;1296.4;250.0;
717200;DEFAULT;1;5;Climb;MaxClimb;T_00B;5000.0;;;
717200;DEFAULT;1;6;Climb;MaxClimb;T_00B;7500.0;;;
717200;DEFAULT;1;7;Climb;MaxClimb;T_00B;10000.0;;;
717200;DEFAULT;2;1;Takeoff;MaxTakeoff;T_13A;;;;
717200;DEFAULT;2;2;Climb;MaxTakeoff;T_13A;1000.0;;;
717200;DEFAULT;2;3;Climb;MaxClimb;T_13A;3000.0;;;
717200;DEFAULT;2;4;Accelerate;MaxClimb;T_00B;;1298.0;250.0;
717200;DEFAULT;2;5;Climb;MaxClimb;T_00B;5000.0;;;
717200;DEFAULT;2;6;Climb;MaxClimb;T_00B;7500.0;;;
717200;DEFAULT;2;7;Climb;MaxClimb;T_00B;10000.0;;;
717200;DEFAULT;3;1;Takeoff;MaxTakeoff;T_13A;;;;
717200;DEFAULT;3;2;Climb;MaxTakeoff;T_13A;1000.0;;;
717200;DEFAULT;3;3;Climb;MaxClimb;T_13A;3000.0;;;
717200;DEFAULT;3;4;Accelerate;MaxClimb;T_00B;;1229.1;250.0;
717200;DEFAULT;3;5;Climb;MaxClimb;T_00B;5000.0;;;
717200;DEFAULT;3;6;Climb;MaxClimb;T_00B;7500.0;;;
717200;DEFAULT;3;7;Climb;MaxClimb;T_00B;10000.0;;;
717200;DEFAULT;4;1;Takeoff;MaxTakeoff;T_13A;;;;
717200;DEFAULT;4;2;Climb;MaxTakeoff;T_13A;1000.0;;;
717200;DEFAULT;4;3;Climb;MaxClimb;T_13A;3000.0;;;
